company_id,year
TRENT,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
TVSMOTOR,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ULTRACEMCO,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
UNIONBANK,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
UNITDSPR,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
VBL,"{'Dec 2013', 'Dec 2012', 'Dec 2014', 'Dec 2015', 'Dec 2018', 'Dec 2021', 'Dec 2023', 'Dec 2022', 'Dec 2019', 'Dec 2016', 'Dec 2020', 'Dec 2017'}"
VEDL,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
WIPRO,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ZOMATO,"{'Mar 2020', 'Mar 2024', 'Mar 2022', 'Mar 2023', 'Mar 2021'}"
ZYDUSLIFE,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
